Size of Matrix,Square_Matrix_Multiply,Square_Matrix_Multiply_Recursive,Strassens_Method
52,0.016439517339070637,0.8551632563273112,0.7580598990122477
53,0.017350117365519207,0.8533547719319662,0.7570223808288574
54,0.01835934321085612,0.853095531463623,0.7562112808227539
55,0.019516865412394207,0.8512393633524576,0.7554202079772949
56,0.020521084467569988,0.8516085147857666,0.7548681894938151
57,0.021582841873168945,0.8483572006225586,0.7559430599212646
58,0.022769371668497723,0.8480564753214518,0.7562146186828613
59,0.02385878562927246,0.8481440544128418,0.7561213970184326
60,0.025077422459920246,0.8456210295359293,0.7544463475545248
61,0.026513020197550457,0.8442250887552897,0.7541207472483317
62,0.02773729960123698,0.8445691267649332,0.753619114557902
63,0.029145081837972004,0.8431954383850098,0.7534817854563395
64,0.030493974685668945,0.8428851763407389,0.7529548009236654
65,0.03172548611958822,6.934404214223226,5.251447121302287
66,0.03310036659240723,6.930436531702678,5.251534461975098
67,0.03468656539916992,6.931475480397542,5.2649485270182295
68,0.0363005002339681,6.938489357630412,5.257780869801839
69,0.03769667943318685,6.913309256235759,5.249773740768433
70,0.03937101364135742,6.921558221181233,5.246974547704061
71,0.0411073366800944,6.903988679250081,5.241408348083496
72,0.04308215777079264,6.904314756393433,5.2486733595530195
73,0.044540007909139,6.92929482460022,5.27426799138387
74,0.04676612218221029,6.918020248413086,5.252012888590495
75,0.04846525192260742,6.922634124755859,5.242467641830444
76,0.050647735595703125,6.914280017217,5.240259965260823
77,0.052213827768961586,6.9076816240946455,5.237884283065796
78,0.05445543924967448,6.913844664891561,5.246392647425334
79,0.056567112604777016,6.910327514012654,5.24781076113383
80,0.058696587880452476,6.940032164255778,5.288286765416463
81,0.06119354565938314,6.913724184036255,5.259983539581299
82,0.0633379618326823,6.912014325459798,5.260376612345378
83,0.06529068946838379,6.910241444905599,5.267449378967285
84,0.06772446632385254,6.922471920649211,5.265093723932902
85,0.07027379671732585,6.925622860590617,5.279702107111613
86,0.07322112719217937,6.9211052258809405,5.294082085291545
87,0.07542530695597331,6.946142514546712,5.288396755854289
88,0.07829809188842773,6.936296542485555,5.286960283915202
89,0.08065485954284668,6.927903970082601,5.2892186641693115
90,0.08457096417744954,6.9263068834940595,5.288917859395345
91,0.08646678924560547,6.92100207010905,5.286967356999715
92,0.0889124870300293,6.925365447998047,5.286641836166382
93,0.09218287467956543,6.9222785631815595,5.288433949152629
94,0.09509833653767903,6.918055454889934,5.280806461970012
95,0.09806664784749348,6.912114302317302,5.284012158711751
96,0.10187919934590657,6.919788837432861,5.277543306350708
97,0.1047826608022054,6.864257733027141,5.3425008455912275
98,0.10767889022827148,6.871269782384236,5.340542793273926
99,0.11144932111104329,6.864436785380046,5.346734444300334
